First Name,Last Name,Organization,Phone 1 - Value,Phone 1 - Type,Email 1 - Value,Notes,Group Membership
Omni Surfaces,Marketing,Omni Surfaces,+17134635000,Work,sales@omnisurfaces.com,USA Stone Importer - Houston TX | imports from India Italy Brazil Turkey,Divya Stones Outreach
Tajams Marble,Marketing,Tajams Marble and Granite (TMG),+17137509817,Work,sales@tajams.com,USA Stone Importer - Houston TX | global imports,Divya Stones Outreach
Stone Depot,Marketing,Stone Depot USA,+12817711511,Work,info@stonedepotus.com,USA Stone Importer - Carrollton/Houston TX | imports from India | since 1984,Divya Stones Outreach
NSI Stone,Marketing,NSI Stone Trading,+17183813088,Work,info@naturalstoneny.com,USA Stone Importer - Brooklyn NY | WA: +19178770447 | 2M+ sqft | imports from India,Divya Stones Outreach
KK Marble,Marketing,K&K Marble Importers,+15169325630,Work,kkmarble@verizon.net,USA Stone Importer - Bethpage NY | 50+ years | imports from Italy India,Divya Stones Outreach
Wholesale Marble,Marketing,Wholesale Marble & Granite Inc.,+17189983636,Work,info@wmgstone.com,USA Stone Importer - Brooklyn NY | since 1983 | imports from India Italy,Divya Stones Outreach
Epic Stones,Marketing,Epic Stones,+14694209380,Work,zee@epicstones.com,USA Stone Importer - Dallas TX | imports from India Brazil China Spain Italy,Divya Stones Outreach
LRC Marble,Marketing,LRC Marble and Granite,+15126406401,Work,shivam@graniteatx.com,USA Stone Importer - Austin TX | active Oct 2025 shipments from India,Divya Stones Outreach
KLZ Stone,Marketing,KLZ Stone Supply Inc.,+19728076187,Work,info@klzstone.com,USA Stone Distributor - Dallas/Fort Worth TX | 30000+ slabs | India Brazil Turkey,Divya Stones Outreach
Verona Marble,Marketing,Verona Marble Company,+12143818405,Work,info@vmcstone.com,USA Stone Importer - Dallas TX | global imports,Divya Stones Outreach
Maestro Surfaces,Marketing,Maestro Surfaces,+13462005311,Work,msinquiry@maestrosurfaces.com,USA Stone Wholesaler - Houston TX | 100000 sqft | imports from India Brazil,Divya Stones Outreach
Avani Granite,Marketing,Avani Granite & Marble,+17136831640,Work,harish@avanigranite.com,USA Stone Importer - Houston TX | imports from India,Divya Stones Outreach
Quality Marble,Marketing,Quality Marble Tile & Granite,+12818886262,Work,,USA Stone Importer - Houston TX | imports from India,Divya Stones Outreach
Shenoy Granite,Marketing,Shenoy Granites & Marble Inc.,+15124527900,Work,,USA Stone Importer - Austin TX | imports from India,Divya Stones Outreach
UMI Stone,Marketing,UMI Stone (United Materials Inc.),+15167772700,Work,,USA Stone Wholesaler - Brooklyn/Farmingdale NY | imports from India,Divya Stones Outreach
Mackson Marble,Marketing,Mackson Marble,+16313909490,Work,,USA Stone Importer - Oyster Bay NY | global imports,Divya Stones Outreach
New York Stone,Marketing,New York Stone,+12122561500,Work,info@newyorkstone.com,USA Stone Distributor - Manhattan NY | tri-state | global imports,Divya Stones Outreach
Mega Marble,Marketing,Mega Marble,+18006342315,Work,megamarble@gmail.com,USA Stone Distributor - Brooklyn/Queens/LI NY | FLAG: toll-free number | global imports,Divya Stones Outreach
Francini Inc,Marketing,Francini Inc.,+18187675899,Work,info@francinimarble.com,USA Stone Importer - Sun Valley LA CA | multi-state | imports from India Brazil Italy Turkey,Divya Stones Outreach
Marble Express,Marketing,Marble Express Inc.,+18189891261,Work,,USA Stone Importer - Van Nuys LA CA | 30+ years | 200000 sqft | imports from India,Divya Stones Outreach
ST Stones,Marketing,ST Stones Inc.,+19548739965,Work,info@ststones.com,USA Stone Wholesaler - Pompano Beach/Miami FL | direct from quarry | imports from India Brazil,Divya Stones Outreach
Primestones,Marketing,Primestones,+15617278000,Work,info@primestones.com,USA Stone Importer - West Palm Beach/Doral FL | 3 FL locations | imports from Brazil India Indonesia,Divya Stones Outreach
Ikon Stone,Marketing,Ikon Stone LLC,+14049636490,Work,office@ikonstone.com,USA Stone Importer - Atlanta GA | high-end slabs | imports from India,Divya Stones Outreach
Builderstone Global,Marketing,BuilderStone Global LLC,+14705512092,Work,info@builderstoneglobal.com,USA Stone Importer - Atlanta GA | imports from India Vietnam Spain,Divya Stones Outreach
MGSI,Marketing,Marble & Granite Supply of Illinois,+18479721161,Work,sales@marble-granites.com,USA Stone Wholesaler - Niles Chicago IL | imports from India,Divya Stones Outreach
UGM Surfaces,Marketing,Universal Granite & Marble (UGM Surfaces),+17732685400,Work,info@universalgranite.com,USA Stone Importer - Chicago IL | 12 Midwest locations | imports from India Brazil Italy China Spain,Divya Stones Outreach
NHG Naturstein,Marketing,NHG Naturstein Handels Gesellschaft mbH,+492018351300,Work,info@nhg-naturstein.de,EU Stone Importer - Essen Germany | imports from India + multiple,Divya Stones Outreach
Ninos Shamon,Marketing,Ninos Naturstein & Fliesen,+4925629171710,Work,info@ninos-naturstein.com,EU Stone Importer - Gronau Germany | imports from India China Brazil Spain Portugal Italy,Divya Stones Outreach
Seltra Naturstein,Marketing,Seltra Natursteinhandel GmbH,+497022407090,Work,marketing@seltra.de,EU Stone Importer - Nurtingen Germany | imports from India China Brazil Vietnam Turkey,Divya Stones Outreach
Naturstein Direkt,Marketing,Naturstein-Direkt GmbH & Co. KG,+4991419205000,Work,onlineshop@naturstein-direkt.de,EU Stone Importer - Bergen Germany | slate quartzite marble granite,Divya Stones Outreach
Natursteine Schädler,Marketing,Natursteine Schädler,+498395633000,Work,info@natursteine-schaedler.de,EU Stone Specialist - Rot an der Rot Germany | stonemason,Divya Stones Outreach
SEMAR,Marketing,Piedras y Mármoles SEMAR S.L.,+34965476503,Work,semar@pymsemar.com,EU Marble Importer - Alguena Alicante Spain | imports from Turkey India Egypt,Divya Stones Outreach
Santes Piedra,Marketing,Santes Piedra Natural S.L.,+34961262069,Work,,EU Stone Wholesaler - Albal Valencia Spain | visited India for sourcing,Divya Stones Outreach
TINO Natural Stone,Marketing,TINO Natural Stone,+34952906149,Work,sales@tinostone.com,EU Premium Stone - Marbella Spain | imports from India + multiple,Divya Stones Outreach
Imperial Marble UK,Marketing,Imperial Marble & Granite Importers Ltd,+442084526331,Work,,EU Stone Importer - London UK | 20+ years | imports from Italy Spain Portugal Turkey Brazil India,Divya Stones Outreach
Global Granite UK,Marketing,Global Granite & Trading Co. Ltd,+441322660550,Work,info@globalgranite.co.uk,EU Stone Importer - Swanley Kent UK | parent company in India (Toshniwal Exports),Divya Stones Outreach
International Stones UK,Marketing,International Stones (UK) Ltd,+441142855717,Work,sales@istones.co.uk,EU Stone Importer - Rotherham UK | family-run | imports from India + multiple,Divya Stones Outreach
Interstones UK,Marketing,Interstones UK,+442080902090,Work,office@interstones.co.uk,EU Stone Wholesaler - Iver Heath UK | marble granite quartzite porcelain | imports from India,Divya Stones Outreach
Imperial Stone Group,Marketing,Imperial Stone Group Ltd,+442034096253,Work,michael@imperialstonegroup.com,EU Stone Importer - London UK | premium slab | imports from India + multiple,Divya Stones Outreach
Marble City UK,Marketing,Marble City Ltd,+442088711191,Work,,EU Stone Supplier - London Wandsworth UK | worktop fabricator,Divya Stones Outreach
Pietre Rapolano,Marketing,Pietre di Rapolano SRL,+390552326120,Work,,EU Stone Supplier - Florence Italy | marble travertine,Divya Stones Outreach
Acemar Stone,Marketing,Acemar Stone,+390452457128,Work,info@acemarstone.com,EU Stone Supplier - Verona Italy | marble granite onyx | since 1956,Divya Stones Outreach
BMB Belgium,Marketing,BMB (Belgian Marble and Granite Companies),+3256680561,Work,,EU Stone Wholesaler - Wortegem-Petegem Belgium | Benelux + France | imports from India Brazil China,Divya Stones Outreach
Lenarduzzi,Marketing,Lenarduzzi Natuursteen B.V.,+31356014727,Work,,EU Stone Supplier - Soest Utrecht Netherlands | family stone designer | imports from India,Divya Stones Outreach
Snijders Natuursteen,Marketing,Snijders Natuursteen Almere B.V.,+31207113050,Work,,EU Stone Wholesaler - Almere Netherlands | 14% NL granite import share | imports from India (100% marble),Divya Stones Outreach
Fair Deal Marbles,Marketing,Fair Deal Marbles & Granite IND LLC,+97165343255,Work,info@fairdealmarble.com,ME Stone Importer - Sharjah UAE | Pankaj Kumar Bajaj MD | imports from India Italy Turkey Spain,Divya Stones Outreach
Al Mina Marble,Marketing,Al Mina Marble & Granite Trading LLC,+97165392488,Work,,ME Stone Importer - Sharjah UAE | Kaushik Swamy MD | imports from India Turkey Italy,Divya Stones Outreach
ARStones Marble,Marketing,ARStones Marble Trading Co. LLC,+97165436706,Work,info@arstones.com,ME Stone Importer - Sharjah UAE | Ramez Elias MD | direct importer from India Italy Turkey Spain,Divya Stones Outreach
Glaze Granite,Marketing,Glaze Granite & Marble Tr. Est.,+97165353123,Work,info@glaze.ae,ME Stone Importer - Sharjah UAE | Oriental Group India | imports from India Italy Spain Greece Vietnam,Divya Stones Outreach
Rathath Trading,Marketing,Rathath Trading Co. LLC,+97165355218,Work,,ME Stone Importer - Sharjah UAE | est. 2003 | imports from India Spain Italy Brazil China Turkey,Divya Stones Outreach
Natural Stone Trading,Marketing,Natural Stone Trading LLC,+97142662840,Work,nstone@emirates.net.ae,ME Stone Importer - Dubai UAE | Mohammed Ali Al Shaba MD | WA: +971502710092 | imports from India + multiple,Divya Stones Outreach
Dar Al Rokham,Marketing,Dar Al Rokham LLC,+97148802545,Work,mail@dar-al-rokham.com,ME Stone Contractor - Dubai UAE | est. 1975 | imports from India + international,Divya Stones Outreach
Al Majid Stone,Marketing,Al Majid Stone LLC,+97142610004,Work,majstone@emirates.net.ae,ME Stone Importer - Dubai UAE | est. early 2000s | imports from India Oman Italy Spain Brazil China,Divya Stones Outreach
Grani Marmo Classic,Marketing,Grani Marmo Classic Stones Factory LLC,+97148834885,Work,info@marmoclassic.ae,ME Stone Factory - Dubai UAE | Subodh Shah MD | est. 2014 | imports from 42 countries incl. India,Divya Stones Outreach
Al Hadeer Marble,Marketing,Al Hadeer Marble & Stone Cutting Factory LLC,+97165424181,Work,info@alhadeerllc.com,ME Stone Factory - Sharjah UAE | WA: +971552279699 | imports from India + international,Divya Stones Outreach
Natural Stones UAE,Marketing,Natural Stones Marbles Trading LLC,+97165352252,Work,support@naturalstoneuae.com,ME Stone Importer - Sharjah UAE | WA: +971565043631 | imports from India Turkey Italy,Divya Stones Outreach
Ronak International,Marketing,Ronak International Marble & Natural Stone Trading LLC,+97165525788,Work,wecare@ronakintl.com,ME Stone Importer - Sharjah UAE | Mohammad Kamran MD | WA: +971566295555 | imports from India Italy Greece Spain Vietnam Turkey,Divya Stones Outreach
