product,finish,format,market,fob_price_usd,estimated_cost_usd,gross_margin_pct,notes
Spider Green,Polished,Tile 60x60,USA,10.50,5.00,52.4%,"Cost: quarrying $1.80 + processing $1.80 + QC/pack/inland/port ~$1.40. Healthy margin. Spider-web premium justified."
Spider Green,Polished,Tile 30x30,USA,9.50,5.20,45.3%,"Smaller tile = more cuts, higher processing labour per sqft. Margin tighter but acceptable."
Emerald Green,Polished,Tile 60x60,USA,11.00,5.20,52.7%,"Deep tone consistency commands slight premium. Strong margin."
Emerald Green,Honed,Tile 60x60,USA,10.50,5.40,48.6%,"Honed adds ~$0.20/sqft processing cost vs polished. Still solid."
Forest Green,Polished,Tile 60x60,USA,10.00,4.80,52.0%,"High availability variety — cost efficient. Volume driver."
Forest Green,Brushed,Tile 60x60,USA,10.50,5.00,52.4%,"Brushed finish adds minor cost. Exterior market premium holds."
Imperial Green,Polished,Tile 60x60,USA,13.50,6.00,55.6%,"Select-grade sorting cost higher. Premium pricing well-supported. Best margin on tiles."
Imperial Green,Honed,Tile 60x60,USA,13.00,6.20,52.3%,"Honed Imperial — premium segment. Solid."
Royal Green,Polished,Tile 60x60,USA,12.00,5.50,54.2%,"Gold veining adds aesthetic value. Premium price achievable."
Royal Green,Polished,Tile 30x60,USA,11.50,5.50,52.2%,"Thinner 12mm — lower material cost offsets extra cutting. Good margin."
Silvo Green,Polished,Tile 60x60,USA,9.50,4.50,52.6%,"Entry-level price point but efficient processing. Margin healthy."
Silvo Green,Sandblasted,Tile 60x60,USA,10.00,4.80,52.0%,"Sandblasting adds modest cost. Outdoor market niche."
Spider Green,Polished,Slab,USA,15.50,9.00,41.9%,"Slab costs higher: thicker stone, careful processing, heavier crating. Margin lower but acceptable for slabs."
Emerald Green,Polished,Slab,USA,16.00,9.20,42.5%,"Consistency premium on Emerald slabs. Good."
Forest Green,Polished,Slab,USA,14.50,8.50,41.4%,"Volume slab. Lower price but cost-efficient."
Imperial Green,Polished,Slab,USA,19.50,10.00,48.7%,"Best slab margin. Select grade allocation justified. Guard supply tightly."
Imperial Green,Honed,Slab,USA,18.50,10.20,44.9%,"Premium slab, hospitality spec. Strong."
Royal Green,Polished,Slab,USA,17.00,9.50,44.1%,"Luxury residential demand supports price. Good."
Silvo Green,Polished,Slab,USA,13.50,8.00,40.7%,"Lowest slab margin — use as volume anchor or bundle with higher-margin varieties."
Spider Green,Polished,Tile 60x60,EU,10.00,5.00,50.0%,"EU price slightly below USA (~$0.50/sqft) to account for competition from Turkish/Chinese suppliers in EU. Still strong."
Spider Green,Honed,Tile 60x60,EU,9.50,5.20,45.3%,"Nordic market preference for honed. Competitive."
Spider Green,Polished,Tile 30x30,EU,9.00,5.20,42.2%,"Smaller format, EU market slightly more price-sensitive. Watch this line."
Emerald Green,Polished,Tile 60x60,EU,10.50,5.20,50.5%,"Solid."
Emerald Green,Honed,Tile 60x60,EU,10.00,5.40,46.0%,"OK margin."
